"paper","domain","claims_extracted","high_confidence","f1_score","composite_score","ready_for_production","processed_at"
"Wind Turbine Efficiency","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 13:03:35.615393"
"Aerodynamic Optimization","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 13:03:35.621112"
"Control Systems","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 13:03:35.62363"
"Grid Integration","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.627678"
"Maintenance Strategies","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.634474"
"Machine Learning Prediction","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.640332"
"Structural Analysis","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 13:03:35.644179"
"Environmental Impact","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.648958"
"Cost Optimization","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.658637"
"Fault Detection","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 13:03:35.660805"
"Supply Chain Management","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 13:03:35.663453"
